[0.000000] (-) TimerEvent: {}
[0.000483] (-) JobUnselected: {'identifier': 'custom_nitros_dnn_image_encoder'}
[0.000770] (-) JobUnselected: {'identifier': 'custom_nitros_image'}
[0.001210] (-) JobUnselected: {'identifier': 'custom_nitros_message_filter'}
[0.001551] (-) JobUnselected: {'identifier': 'custom_nitros_message_filter_interfaces'}
[0.001922] (-) JobUnselected: {'identifier': 'custom_nitros_string'}
[0.002324] (-) JobUnselected: {'identifier': 'gxf_isaac_argus'}
[0.002389] (-) JobUnselected: {'identifier': 'gxf_isaac_atlas'}
[0.002427] (-) JobUnselected: {'identifier': 'gxf_isaac_cuda'}
[0.002461] (-) JobUnselected: {'identifier': 'gxf_isaac_depth_image_proc'}
[0.002492] (-) JobUnselected: {'identifier': 'gxf_isaac_flatscan_localization'}
[0.002523] (-) JobUnselected: {'identifier': 'gxf_isaac_gems'}
[0.002552] (-) JobUnselected: {'identifier': 'gxf_isaac_gxf_helpers'}
[0.002581] (-) JobUnselected: {'identifier': 'gxf_isaac_hesai'}
[0.002608] (-) JobUnselected: {'identifier': 'gxf_isaac_image_flip'}
[0.002636] (-) JobUnselected: {'identifier': 'gxf_isaac_localization'}
[0.002663] (-) JobUnselected: {'identifier': 'gxf_isaac_message_compositor'}
[0.002691] (-) JobUnselected: {'identifier': 'gxf_isaac_messages'}
[0.002718] (-) JobUnselected: {'identifier': 'gxf_isaac_messages_throttler'}
[0.002745] (-) JobUnselected: {'identifier': 'gxf_isaac_optimizer'}
[0.002776] (-) JobUnselected: {'identifier': 'gxf_isaac_point_cloud'}
[0.002812] (-) JobUnselected: {'identifier': 'gxf_isaac_range_scan_processing'}
[0.002846] (-) JobUnselected: {'identifier': 'gxf_isaac_rectify'}
[0.002930] (-) JobUnselected: {'identifier': 'gxf_isaac_ros_cuda'}
[0.003421] (-) JobUnselected: {'identifier': 'gxf_isaac_ros_messages'}
[0.003464] (-) JobUnselected: {'identifier': 'gxf_isaac_segway'}
[0.003500] (-) JobUnselected: {'identifier': 'gxf_isaac_sgm'}
[0.003616] (-) JobUnselected: {'identifier': 'gxf_isaac_sight'}
[0.003851] (-) JobUnselected: {'identifier': 'gxf_isaac_tensorops'}
[0.003954] (-) JobUnselected: {'identifier': 'gxf_isaac_timestamp_correlator'}
[0.003997] (-) JobUnselected: {'identifier': 'gxf_isaac_utils'}
[0.004032] (-) JobUnselected: {'identifier': 'isaac_common'}
[0.004063] (-) JobUnselected: {'identifier': 'isaac_common_py'}
[0.004092] (-) JobUnselected: {'identifier': 'isaac_ros_apriltag_interfaces'}
[0.004120] (-) JobUnselected: {'identifier': 'isaac_ros_bi3d_interfaces'}
[0.004147] (-) JobUnselected: {'identifier': 'isaac_ros_common'}
[0.004170] (-) JobUnselected: {'identifier': 'isaac_ros_depth_image_proc'}
[0.004192] (-) JobUnselected: {'identifier': 'isaac_ros_gxf'}
[0.004213] (-) JobUnselected: {'identifier': 'isaac_ros_h264_decoder'}
[0.004234] (-) JobUnselected: {'identifier': 'isaac_ros_h264_encoder'}
[0.004254] (-) JobUnselected: {'identifier': 'isaac_ros_image_pipeline'}
[0.004274] (-) JobUnselected: {'identifier': 'isaac_ros_image_proc'}
[0.004323] (-) JobUnselected: {'identifier': 'isaac_ros_launch_utils'}
[0.004353] (-) JobUnselected: {'identifier': 'isaac_ros_managed_nitros'}
[0.004387] (-) JobUnselected: {'identifier': 'isaac_ros_nitros'}
[0.004669] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_battery_state_type'}
[0.004700] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_bridge_interfaces'}
[0.004728] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_bridge_ros2'}
[0.004791] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_camera_info_type'}
[0.004819] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_compressed_image_type'}
[0.004845] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_compressed_video_type'}
[0.004869] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_correlated_timestamp_type'}
[0.004895] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_detection2_d_array_type'}
[0.005015] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_detection3_d_array_type'}
[0.005042] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_disparity_image_type'}
[0.005067] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_encoder_ticks_type'}
[0.005093] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_flat_scan_type'}
[0.005161] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_image_type'}
[0.005189] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_imu_type'}
[0.005219] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_occupancy_grid_type'}
[0.005246] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_odometry_type'}
[0.005271] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_point_cloud_type'}
[0.005297] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_pose_array_type'}
[0.005358] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_pose_cov_stamped_type'}
[0.005387] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_std_msg_type'}
[0.005415] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_tensor_list_type'}
[0.005440] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_topic_tools'}
[0.005478] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_twist_type'}
[0.005502] (-) JobUnselected: {'identifier': 'isaac_ros_nova_interfaces'}
[0.005523] (-) JobUnselected: {'identifier': 'isaac_ros_pointcloud_interfaces'}
[0.005544] (-) JobUnselected: {'identifier': 'isaac_ros_pynitros'}
[0.005565] (-) JobUnselected: {'identifier': 'isaac_ros_r2b_galileo'}
[0.005585] (-) JobUnselected: {'identifier': 'isaac_ros_rosbag_utils'}
[0.005606] (-) JobUnselected: {'identifier': 'isaac_ros_stereo_image_proc'}
[0.005627] (-) JobUnselected: {'identifier': 'isaac_ros_tensor_list_interfaces'}
[0.005648] (-) JobUnselected: {'identifier': 'isaac_ros_test'}
[0.005669] (-) JobUnselected: {'identifier': 'isaac_ros_test_cmake'}
[0.005696] (-) JobUnselected: {'identifier': 'rslidar_msg'}
[0.005757] (-) JobUnselected: {'identifier': 'rslidar_sdk'}
[0.005794] (-) JobUnselected: {'identifier': 'serial'}
[0.005829] (-) JobUnselected: {'identifier': 'yesense_interface'}
[0.005873] (-) JobUnselected: {'identifier': 'yesense_std_ros2'}
[0.006313] (v4l2_camera) JobQueued: {'identifier': 'v4l2_camera', 'dependencies': OrderedDict()}
[0.006439] (v4l2_camera) JobStarted: {'identifier': 'v4l2_camera'}
[0.099123] (-) TimerEvent: {}
[0.103918] (v4l2_camera) JobProgress: {'identifier': 'v4l2_camera', 'progress': 'cmake'}
